Value,Description
270,Pelagic_fish_spawning_start_day
130,Pelagic_fish_spawning_duration_(days)
165,Pelagic_fish_recruitment_start_day
60,Pelagic_fish_recruitment_duration_(days)
240,Demersal_fish_spawning_start_day
210,Demersal_fish_spawning_duration_(days)
60,Demersal_fish_recruitment_start_day
210,Demersal_fish_recruitment_duration_(days)
240,Filt/dep_benthos_spawning_start_day
120,Filt/dep_benthos_spawning_duration_(days)
210,Filt/dep_benthos_recruitment_start_day
150,Filt/dep_benthos_recruitment_duration_(days)
30,Carn/scav_benthos_spawning_start_day
60,Carn/scav_benthos_spawning_duration_(days)
300,Carn/scav_benthos_recruitment_start_day
150,Carn/scav_benthos_recruitment_duration_(days)
1,Migratory_fish_switch_(0=off_1=on)
5752309.58185179,Migratory_fish_ocean_biomass_(Tonnes_wet_weight)
0.184,Migratory_fish_carbon_to_wet_weight_(g/g)
310011.5896,Model_domain_sea_surface_area_(km2)
0.0807614769522297,Propn_of_ocean_population_entering_model_domain_each_year
86,Imigration_start_day
162,Imigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
0.968468480127237,Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate
269,Emigration_start_day
15,Emigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
