Group,Inshore_harvest_ratio,Offshore_harvest_ratio,Use_1.yes_0.no,Comments
Planktivorous_fish          ,8.509419E-04,7.190173E-05,2.69362E-04,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
     Demersal_fish          ,9.98865E-04,1.516308E-04,3.66376E-04,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
    Migratory_fish          ,1.559401E-04,2.125871E-04,1.98229E-04,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
  Benthos_susp-dep          ,9.63946E-06,8.185244E-07,3.054332E-06,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
 Benthos_carn-scav          ,2.444166E-04,9.155674E-05,1.303015E-04,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
  Zooplankton_carn          ,1.115577E-05,8.750842E-06,9.360409E-06,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
             Birds          ,1.803417E-05,3.21613E-06,6.972E-06,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
         Pinnipeds          ,7.088751E-05,5.366698E-06,2.1974E-05,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
         Cetaceans          ,4.267159E-06,3.180298E-07,1.319E-06,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
       Macrophytes          ,0E+00,0E+00,0E+00,No_kelp_harvesting_in_the_SBS_model
