"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,52.4315385848149,6.17213689053021,7.75241487649812,21.8417996863317,16.7465347816519,22.7469253751988,0.000205407312756694,-2.56165605519733,1,0,0,0.632737253736882,1.62022150310254,0.0582077439773315,0.0156418761447263,0.223782007917576,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.24286788702011,-3.7157913739088,0.9,0.290430871960702,0.485187380221047
2,46.0845848214648,6.15302626862834,7.78845874951492,22.6665719883522,16.9531462531316,23.5342335962121,0.000223014958650923,-2.71671054790817,1,0,0,0.53393281431106,1.3467755799521,0.0525303776811334,0.0146391848475527,0.185169374843442,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.2254069685936,-3.57059679250148,0.9,0.232806666545318,0.42041646013436
3,40.7649082104237,6.19449659102747,8.06537312262229,22.9065260512126,17.3451563818148,23.467814078414,0.000207758573113179,-2.55300718868801,1,0,0,0.636481173156699,1.63347904026671,0.0671108314804774,0.0180566350387498,0.22450313119399,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.40020959377289,-3.80741652357832,0.9,0.279481423644679,0.484201126794952
4,33.257789405011,6.20704337793646,7.98898815000862,22.5993791543361,17.7706035103196,22.7435800397422,0.000164220551237871,-2.29201512741178,0.884163508,0,0,0.599233368548434,1.55920444262331,0.0578666850748619,0.0309562202425444,0.264395330716934,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.35394558906555,-3.74340576048319,0.9,0.303230153450563,0.473981392023714
5,25.926363849946,6.34512177231028,8.21398261338279,21.3897004178391,17.964953051853,20.8409881452549,0.00014420696840179,-2.07926699530043,0.607671289,0,0,0.55051676508341,1.47975910333109,0.0470208381108088,0.0526731918424828,0.269202428501752,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.51934689283371,-3.54415343564198,0.9,0.335903629752253,0.427738841513659
6,22.4088948942195,6.47448581244544,8.35429395431658,19.8832558253735,17.6517406984895,18.7805642477104,0.000140135209819205,-2.06713441694763,0.446021763,0,0,0.542492647715733,1.42993966260812,0.0436749173362299,0.0440047487333321,0.252223162815563,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.39439907073975,-3.54595918223954,0.9,0.320853798506079,0.420691278640378
7,23.7679141038933,6.50453544835093,8.28931321593339,18.900023053733,17.1549667522992,17.5197713829292,0.000147341385349017,-2.11013100199494,0.411451011,0,0,0.56684863461548,1.48649428642532,0.0492750499764468,0.0325054689950864,0.251941132610962,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.44463362693787,-3.46921540336265,0.9,0.306587053405063,0.492590154261289
8,28.3192428865121,6.43241291200319,8.45816288550252,18.4128803677209,16.6794566668173,17.0969277097514,0.000153687057385373,-2.17750926273596,0.476442673,0,0,0.602181055224247,1.5695869474606,0.0560163546829045,0.0271114859819809,0.245860578776294,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57865142822266,-3.63344197808679,0.9,0.3311254297398,0.515916950386347
9,33.5615348890557,6.28374932956997,8.35107586603887,18.4160739922189,16.4870961188057,17.3542496132437,0.000164457744148284,-2.0592514230951,0.639261454,0,0,0.630958366118497,1.60565984747776,0.0494539812029212,0.0213247295108448,0.237256785787018,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57202643156052,-3.60470851242103,0.9,0.310413989920013,0.512925590428592
10,41.1228081205061,6.21374700779004,8.17133007418038,19.087890773587,16.5277580755755,18.6108565085177,0.000181584039498016,-2.1545137557988,0.922987598,0,0,0.677588356036805,1.71304181994105,0.0632230500965262,0.0167479972366442,0.230174175487527,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.54338592290878,-3.69366611602572,0.9,0.306586592436559,0.567065897669593
11,48.9740432339329,6.23278564127776,8.03705738054348,19.8951189683203,16.6684752650828,19.8802828892734,0.000185347187342409,-2.25199590005147,1,0,0,0.679253834309636,1.75901385995462,0.0840346090632781,0.0118370459845425,0.236658785059035,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.45441211462021,-3.4449637494929,0.9,0.302512354399251,0.553071812754355
12,52.0941378667801,6.20767975276861,7.86679909322562,20.9421188783846,16.7344099125986,21.4442312995037,0.000187584280091512,-2.45789935421679,1,0,0,0.643421276345734,1.70280521671303,0.0731804824751657,0.00842564324617167,0.20267306231342,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.28815908432007,-3.68079306427315,0.9,0.290558750505889,0.52275068759088
