"Annual_measure","SD_of_measure","Use1_0","Name","Units","Description","Region","Time_period","Source"
1672.53448212831,196.48342306513,1,"Obs_TAPP","mMN/m2/y","Annual_total_primary_production","SBS","2010-2019","Insufficient_data"
858.9,208.4,1,"Obs_NP","mMN/m2/y","Annual_new_production_from_depth_integrated_nitrate_plus_summer_river_and_atmos_inputs","Celtic_Sea","2000_2003","Heath_and_Beare_2008"
NA,NA,0,"Obs_KelpP","gC/m2/y","Annual_WITHIN_FOREST_NET_production_of_macrophytes","General_UK",NA,"Burrows_et_al_2018"
669.902673,167.47566825,1,"Obs_OmnizooP","mMN/m2/y","Annual_ominiv_zooplankton_gross_production","SBS",NA,"Estimated using a range of sources"
14.741561,3.68539025,1,"Obs_CarnzooP","mMN/m2/y","Annual_carnivorous_zooplankton_gross_production","SBS",NA,"Estimated using a range of sources"
27.704079,6.92601975,1,"Obs_PFishP","mMN/m2/y","Annual_planktivorous_fish_gross_production","SBS",NA,"Estimated using a range of sources"
3.364501,0.84112525,1,"Obs_DFishP","mMN/m2/y","Annual_demersal_fish_gross_production","SBS",NA,"Estimated using a range of sources"
59.159461,14.78986525,1,"Obs_BensuspP","mMN/m2/y","Annual_susp/dep_benthos_gross_production","SBS",NA,"Estimated using a range of sources"
35.382445,8.84561125,1,"Obs_BencarnP","mMN/m2/y","Annual_carn/scan_benthos_gross_production","SBS",NA,"Estimated using a range of sources"
0.0006374825,0.000159370625,1,"Obs_birdP","mMN/m2/y","Annual_net_production_of_birds","SBS",NA,"Estimated using a range of sources"
0.0008144484,0.0002036121,1,"Obs_sealP","mMN/m2/y","Annual_net_production_of_pinnipeds","SBS",NA,"Estimated using a range of sources"
0.0089067346,0.00222668365,1,"Obs_cetaP","mMN/m2/y","Annual_net_production_of_cetaceans","SBS",NA,"Estimated using a range of sources"
NA,NA,0,"Obs_maxbenthslar","mMN/m3","Annual_monthly_max_conc_of_benthos_susp/dep_larvae","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_maxbenthclar","mMN/m3","Annual_monthly_max_conc_of_benthos_carn/scav_larvae","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_Conpfishfish","mMN/m2/y","Annual_consumption_of_planktivorous_fish_by_fish","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_Condfishfish","mMN/m2/y","Annual_consumption_of_demersal_fish_by_fish","SBS","2010-2019","Insufficient_data"
NA,NA,0,"Obs_Conzoofish","mMN/m2/y","Annual_consumption_of_omniv_zooplankton_by_fish_and_fish_larvae","SBS","2010-2019","Insufficient_data"
