"Month","SLight","SO_LogeSPM","SI_LogeSPM","SO_temp","D_temp","SI_temp","Rivervol_SI","log10Kvert","mixLscale","D_SO_upwelling","SO_D_downwelling","SO_OceanIN","D_OceanIN","SI_OceanIN","SI_OceanOUT","SO_SI_flow","habS1_pdist","habS2_pdist","habS3_pdist","habD1_pdist","habD2_pdist","habD3_pdist","Inshore_waveheight","DO_log10Kvert","DO_mixLscale","DO_D_upwelling","D_DO_downwelling"
1,46.1699052328887,6.17213689053021,7.75241487649812,22.6359197562943,17.6914946021617,23.1204928658558,0.000278116221764121,-2.74142258431302,1,0,0,0.570886147671196,1.50759048323572,0.0863047205099797,0.00850716066155958,0.215504235988971,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.24286788702011,-3.465306681952,0.9,0.311055022509894,0.459748854389346
2,42.1395613923779,6.15302626862834,7.78845874951492,22.9581671119693,17.7529820592967,23.4025250391861,0.000234119397167574,-2.77563519206771,1,0,0,0.484457146110012,1.25667120838138,0.0782485940242308,0.00940607180990719,0.209886893864237,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.2254069685936,-3.43374490108137,0.9,0.266344042896256,0.387993128376342
3,37.3245100788447,6.19449659102747,8.06537312262229,23.0833059097281,17.7970606723232,23.1250220812652,0.000190108947370277,-2.73210565920353,1,0,0,0.602608177359639,1.4775211985343,0.0967273127412199,0.0078110212593082,0.206568800401095,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.40020959377289,-3.41459467594443,0.9,0.311821913757651,0.445395568322172
4,31.2607278047262,6.20704337793646,7.98898815000862,22.9884743145407,18.0683787423215,22.5664466022905,0.000133647214912851,-2.31589302108558,0.884163508,0,0,0.548722379340818,1.38585720119726,0.0855541041829493,0.00787940803825255,0.218830642166122,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.35394558906555,-3.58317258498242,0.9,0.325023154506958,0.417967897334002
5,23.9756886755142,6.34512177231028,8.21398261338279,22.3888351571084,18.2780528965802,21.3408587447811,0.000130540947465692,-2.15696349739719,0.607671289,0,0,0.483609524480975,1.32135679965841,0.0771569153586363,0.011348120510077,0.215618675038681,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.51934689283371,-3.70458858895315,0.9,0.33524114133666,0.38673572694501
6,21.149506728932,6.47448581244544,8.35429395431658,21.2385074143241,18.3171741540686,19.5048031616095,0.000138473216825053,-2.07478218695989,0.446021763,0,0,0.435743959371885,1.24936069508228,0.0623964659543154,0.0233869245908753,0.233487612165735,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.39439907073975,-3.86334351120256,0.9,0.375469002252063,0.343898553377951
7,22.6396034008184,6.50453544835093,8.28931321593339,20.2791709579392,18.1480596970749,18.2380049896042,0.000111631091762023,-2.0299778277444,0.411451011,0,0,0.42733940438026,1.24733481646536,0.06512202880684,0.0168388352472655,0.219214593302572,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.44463362693787,-3.65110415337014,0.9,0.36865982651434,0.397350776165415
8,28.5781878606514,6.43241291200319,8.45816288550252,19.914792573744,18.0221036398995,18.1037697376125,0.000110040240470714,-2.06791124966391,0.476442673,0,0,0.469904545995721,1.35619881968395,0.0708695413743781,0.00859049522341205,0.211483726998538,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57865142822266,-3.64527798889624,0.9,0.356169967704298,0.457904718869737
9,32.5478374709577,6.28374932956997,8.35107586603887,20.2191111931939,17.842681598617,19.0254573528217,0.000115669727361234,-2.20249227253251,0.639261454,0,0,0.574547344754676,1.59165560201588,0.0822911896910093,0.0105580750761081,0.246987045547519,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.57202643156052,-3.2828527356339,0.9,0.3475668278632,0.532457549335304
10,37.5404834317492,6.21374700779004,8.17133007418038,20.6701424386566,17.568629033273,20.1725091880934,0.000170207814702227,-2.31111647486532,0.922987598,0,0,0.641188044197896,1.70663211439485,0.092644520695028,0.011279542271564,0.273004438185719,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.54338592290878,-3.62705478692419,0.9,0.342917830471779,0.564836700859905
11,42.0174961909275,6.23278564127776,8.03705738054348,21.1366564346631,17.4014968086849,21.1112116411506,0.000172692277929213,-2.386146862346,1,0,0,0.671305574801251,1.73861609557896,0.0930048165130889,0.00913666962241121,0.252904452425906,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.45441211462021,-3.64695743986869,0.9,0.326407654438209,0.588352464502535
12,46.8457679024708,6.20767975276861,7.86679909322562,21.8788354550653,17.496334054705,22.1300672058135,0.000189522589564773,-2.57005176276501,1,0,0,0.633372605145753,1.64619754811271,0.0907349790115558,0.00681631867673727,0.223264228749061,0.2940807,0.2940807,0.2940807,0.01417934,0.01417934,0.01417934,1.28815908432007,-3.93385727979376,0.9,0.301309018231342,0.545582036568971
