Gear_name,Gear_code,Discardrate_PF,Discardrate_DF,Discardrate_MF,Discardrate_FDB,Discardrate_CSB,Discardrate_CZ,Discardrate_BD,Discardrate_SL,Discardrate_CT,Discardrate_KP
Traps_(benthos),TB,0,0.5866,0,0,0,0,1,1,1,0
Pink-shrimp_trawlers,PT,0,0.1941,0,0,0.0400,0.1840,1,1,1,0
Seabob-shrimp_trawlers,ST,0,0.3350,0,0,0.0400,0.1840,1,1,1,0
Fish_trawl,FT,0,0.1941,0,0,0.0400,0.1840,1,1,1,0
Trap_nets,TN,0,0.3161,0,0,0,0,1,1,1,0
Purse_and_beach_seines,PBS,0.0290,0.0587,0.4104,0,0.4200,0.4300,1,1,1,0
Bottom_gillnet,BG,0,0.1300,0,0,0.2220,0,1,1,1,0
Surface_gillnet,SG,0.1800,0,0,0,0,0,1,1,1,0
Bottom_longline,BLL,0,0.1451,0,0,0,0,1,1,1,0
Surface_longline_and_lines,SLL,0,0.1470,0.0395,0,0,0,1,1,1,0
Others/multiple_gear,OG,0.0030,0.0030,0,0,0.0030,0,1,1,1,0
Pole_and_line,PL,0,0,0,0,0,0,1,1,1,0
