Month,SO_nitrate,SO_ammonia,SO_phyt,SO_detritus,D_nitrate,D_ammonia,D_phyt,D_detritus,SI_nitrate,SI_ammonia,SI_phyt,SI_detritus,RIV_nitrate,RIV_ammonia,RIV_detritus,SO_ATM_nitrate_flux,SO_ATM_ammonia_flux,SI_ATM_nitrate_flux,SI_ATM_ammonia_flux,SI_other_nitrate_flux,SI_other_ammonia_flux,SO_other_nitrate_flux,SO_other_ammonia_flux,DO_nitrate,DO_ammonia,DO_detritus
1,3.293887332,0.246000373,0.374450283,0.154949927,15.13744898,0.789254764,0.044814812,0.04915952,3.133937696,0.234054709,0.585624765,0.257745857,225.7880771,52.31825849,0,0.026744077,0.030084541,0.033353,0.04266055,0,0,0,0,22.9204974,2.150934097,0.008689355
2,3.487160967,0.191209301,0.364131762,0.152673799,15.0119532,0.915247654,0.043685891,0.047997309,5.25134022,0.287943431,0.700081865,0.33679507,234.5461935,54.34763667,0,0.027747401,0.032292974,0.033577083,0.045098362,0,0,0,0,22.86267766,2.160083643,0.006945301
3,2.836128169,0.218698163,0.319703748,0.128530079,14.7379999,0.649052246,0.041468192,0.042227476,3.198018106,0.246604047,0.606185654,0.264091405,227.362171,52.6829981,0,0.018690821,0.023602373,0.023614429,0.034982702,0,0,0,0,23.2268288,1.732181154,0.004182224
4,1.988100441,1.057596189,0.297761955,0.116004197,14.30496223,0.946372686,0.038229286,0.03737762,2.780151433,1.478938136,0.674076844,0.295849592,226.8569723,52.56593647,0,0.017071916,0.021875556,0.020646948,0.03240838,0,0,0,0,23.02614468,1.997095146,0.002833017
5,2.882137679,2.056084159,0.329166004,0.133173828,14.11685361,1.709697957,0.037221006,0.037849235,4.065202033,2.90006878,0.782726002,0.338620063,203.6469846,47.18785739,0,0.01500804,0.024748595,0.017399162,0.035897571,0,0,0,0,22.328615,2.80017991,0.004108914
6,4.555966442,2.652433758,0.370918568,0.149999886,16.02758593,0.898934765,0.045429063,0.045500125,5.764332967,3.355931513,0.697657948,0.290616144,171.6811332,39.7809221,0,0.019318735,0.032524663,0.019341452,0.039738402,0,0,0,0,21.99690377,3.409508616,0.008536862
7,5.218729952,2.915684224,0.422211359,0.169731279,16.22892154,1.289761318,0.050671641,0.050499723,5.151254468,2.877985933,0.60641135,0.245084844,196.7543768,45.59074366,0,0.022989587,0.034298682,0.025926396,0.046663135,0,0,0,0,22.60102339,2.943555752,0.011824065
8,4.438732235,3.212485648,0.453599495,0.181614131,16.24192285,1.162905942,0.057213007,0.054298585,3.504231655,2.536150708,0.555856287,0.221169084,184.6681933,42.79020573,0,0.033488523,0.04857398,0.034847747,0.056259995,0,0,0,0,22.65636966,2.806280773,0.012483448
9,4.04237489,3.224210344,0.479623643,0.195002994,16.36580966,0.843387158,0.062620672,0.060374679,3.771911447,3.00848789,0.633040553,0.270743476,191.0803235,44.27598607,0,0.037048252,0.048572167,0.042273832,0.060432815,0,0,0,0,22.80640632,2.505659614,0.014731702
10,4.822814216,1.360468071,0.477769656,0.197941082,16.07174303,0.925917952,0.054142982,0.05903895,2.948300452,0.831686325,0.530361152,0.228785686,219.7395656,50.91673369,0,0.021427633,0.030579119,0.027714407,0.044002395,0,0,0,0,22.6101448,2.637584809,0.016901294
11,4.568582794,0.454648189,0.452254367,0.190538129,15.69898193,0.916669684,0.047257194,0.055058432,3.373369297,0.335705034,0.58522247,0.262177473,223.9771914,51.89865092,0,0.018378095,0.024134659,0.024212189,0.036165112,0,0,0,0,22.07919111,3.078194765,0.013300219
12,3.71747005,0.215228675,0.398516377,0.163574037,15.76386849,0.44876509,0.044955229,0.051540565,2.778216422,0.160849134,0.541803139,0.232987243,236.7779882,54.86477475,0,0.021944976,0.02600956,0.028809383,0.039420655,0,0,0,0,22.29604699,2.749658041,0.011775872
