Gear_name,Gear_code,Activity_.s.m2.d.,Plough_rate_.m2.s.
Traps_(benthos),TB,0.0000299028524,0
Pink-shrimp_trawlers,PT,0.0002027877734,64.91
Seabob-shrimp_trawlers,ST,0.0003481442101,34.77
Fish_trawl,FT,0.0000156288351,35
Trap_nets,TN,0.0000581127951,0
Purse_and_beach_seines,PBS,0.0000660259561,0
Bottom_gillnet,BG,0.0007603608584,1.55
Surface_gillnet,SG,0.0002703709371,0
Bottom_longline,BLL,0.0000047314244,0.89
Surface_longline_and_lines,SLL,0.0000501203778,0
Others/multiple_gear,OG,0.0001715130717,0
Pole_and_line,PL,0.0000014996214,0
