Common name English;Common name portuguese;Taxon
Argentine stiletto shrimp;Camarão barba-ruça, Camarão-ferrinho;Artemesia longinaris
Crab;Caranguejo;Brachyura
Atlantic blue crab, Speckled swimming crab;Siri, Siri-candeia;Callinectes spp., Achelous spinimanus, Arenaeus cribrarius
Shrimp;Camarão;Decapoda
Pink shrimp;Camarão-rosa;Farfantepenaeus paulensis
Sea snail;Búzio;Gastropoda
Mantis shrimp;Lacraia;Hemisquilla brasiliensis
Southern white shrimp;Camarão-branco;Litopenaeus schmitti
Urugavian lobster;Lagostim, Pitú;Metanephrops rubellus
Octopus;Polvo;Octopodidae
Spiny lobster, Slipper lobster;Lagosta, Lagosta sapateira;Panulirus spp., Scyllarides spp.
Argentine red shrimp;Camarão-santana;Pleoticus muelleri
Soldier striped shrimp;Camarão-cristalino;Plesionika edwardsii
Stomatopods;Tamburutaca;Stomatopoda
Mangrove crab;Caranguejo uçá;Ucides cordatus
Volutes;Concha, Caramujo;Volutidae
Atlantic seabob;Camarão sete-barbas;Xiphopenaeus kroyeri
Shellfish;Berbigão;Anomalocardia flexuosa
Shellfish;Marisco;Bivalvia
Oyster;Ostra;Crassostrea brasiliana
Mole crabs;Moçambique;Emerita brasiliensis
Zigzag scallop;Vieira;Euvola ziczac
Mussel, Brown mussel;Mexilhão, Sururu;Perna perna, Mytella spp
Argentine shortfin squid;Calamar-argentino;Illex argentinus
Squid;Lula;Loliginidae
Grey triggerfish;Peixe-porco, Peroá;Balistes capriscus, Aluterus monoceros
Common snook;Robalo;Centropomus spp.
Atlantic spadefish;Paru, Enxada;Chaetodipterus faber
Argentine conger;Congro-preto, Enguia;Conger orbignianus
Barred grunt;Roncador;Conodon nobilis
Acoupa weakfish;Pescada-amarela;Cynoscion acoupa
Stripped weakfish;Maria-mole;Cynoscion guatucupa
Jamaica weakfish;Goete;Cynoscion jamaicensis
Smooth weakfish;Pescada-branca;Cynoscion leiarchus
Green weakfish;Pescada-cambucu;Cynoscion virescens
Flying gurnard;Coió, Peixe-voador;Dactylopterus volitans
Groupers;Cherne, Garoupa, Badejos;Epinephelus spp., Polyprion americanus, Hyporthodus spp., Mycteroperca spp
Sea catfish;Bagre;Genidens spp., Bagre marinus
Kingklip;Congro-rosa;Genypterus brasiliensis
Corocoro grunt;Corcoroca;Haemulidae, Orthopristis rubra
Blackbelly rosefish;Sarrão;Helicolenus dactylopterus
Shorthead drum;Oveva;Larimus breviceps
Blackfin goosefish;Peixe-sapo;Lophius gastrophysus
Tilefish;Batata, Batata da pedra;Lopholatilus villarii, Caulolatilus chrysops
King weakfish;Pescadinha-real;Macrodon ancylodon
Southern king weakfish;Pescada-foguete;Macrodon atricauda
Kingcroakers;Betara, Papa-terra;Menticirrhus spp.
Argentine hake;Merluza;Merluccius hubbsi
Whitemouth croaker;Corvina;Micropogonias furnieri
Grey mullets;Tainha, Parati;Mugil curema, Mugil liza
Goatfish, Salmon;Salmão, Trilha, Saramonete;Mullidae
Castaneta;Papa-mosca, Pontudo;Nemadactylus bergi
Common seabream;Pargo, Pargo-rosa;Pagrus pagrus
Flounder;Linguado;Paralichthys spp., Syacium papillosum
Banded croaker;Maria luiza;Paralonchurus brasiliensis
American harvestfish;Gordinho;Peprilus paru, Peprilus spp.
Brazilian flathead;Tira-vira;Percophis brasiliensis
Beardfish;Ferrinho;Polymixia lowei
Atlantic midshipman;Mamangá-liso, Mangangá;Porichthys porosissimus
Atlantic bigeye;Olho-de-cão;Priacanthus arenatus
Bluewing searobin;Cabra, Cabrinha;Prionotus punctatus
Namorado sandperch;Namorado;Pseudopercis numida
Rays;Raias;Rajiformes, Pseudobatos horkelii, Atlantoraja sp., Narcine brasiliensis, Arhynchobatidae
Drums, croakers;Pescadas agrupadas;Sciaenidae
Angelshark;Cação-anjo;Squatina spp.
Largehead hairtail;Peixe-espada;Trichiurus lepturus
Argentine croaker;Castanha;Umbrina canosai
Gulf hake, Brazilian codling;Abrótea;Urophycis spp. (U. brasiliensis, U. cirrata, U. mystacea)
Wahoo;Wahoo, Cavala-empinge;Acanthocybium solandri
Frigate tuna;Bonito-cachorro;Auxis thazard
Spinner shark, Bull shark;Cação galha-preta, Cação cabeça-chata;Carcharhinus brevipinna, C. leucas
Sand tiger shark;Cação-mangona;Carcharias taurus
Common dolphinfish;Dourado-do-mar;Coryphaena hippurus
Little tunny;Bonito-pintado;Euthynnus alletteratus
Tiger shark;Cação-tigre;Galeocerdo cuvier
Snake mackerels;Prego;Gempylidae
Sailfish;Agulhão, Agulhão-vela;Istiophoridae, Istiophorus platypterus
